요양기관명,종별코드명,시군구코드명,우편번호,주소,x좌표,y좌표
의료법인 정다운의료재단 나진요양병원,요양병원,대전서구,35283,대전광역시 서구 갈마로 122  (괴정동),127.3712796,36.341649
의료법인 지덕사의료재단 양녕요양병원,요양병원,대전서구,35281,대전광역시 서구 신갈마로 126-0  (갈마동),127.3687918,36.3447274
의료법인 참사랑의료재단 대전참사랑요양병원,요양병원,대전서구,35235,대전광역시 서구 계룡로491번길 8 갤러리빌4차,127.3801178,36.3455499
의료법인 한일의료재단 패밀리요양병원,요양병원,대전중구,0,대전광역시 중구 중교로 39-   (대흥동),127.4241204,36.325646
의료법인고려의료재단 원동요양병원,요양병원,대전동구,34632,"대전광역시 동구 대전로 742-0  2~4층 (원동,대전원동건축자재판매시설)",127.4357842,36.3263553
의료법인고운손의료재단고운마음요양병원,요양병원,대전유성구,34098,대전광역시 유성구 송림로 58-0  (하기동),127.3242163,36.3867831
의료법인나우리의료재단나우리요양병원,요양병원,대전유성구,34227,대전광역시 유성구 진잠로 164  (원내동),127.3195123,36.3038107
의료법인대전석천의료재단 섬김요양병원,요양병원,대전중구,34900,대전광역시 중구 유천로 76  (유천동),127.3974373,36.3192985
의료법인대전세진의료재단은혜요양병원,요양병원,대전중구,34946,대전광역시 중구 계룡로 943 (대사동),127.4169781,36.319252
의료법인비에스의료재단 브레인요양병원,요양병원,대전유성구,34179,대전광역시 유성구 도안대로567번길 26-0  0동 (봉명동),127.3385573,36.3515459
중구의료소비자생활협동조합 보문산생태요양병원,요양병원,대전중구,35052,"대전광역시 중구 보문산공원로 473-0  1~5층 (대사동,크린타워)",127.4207165,36.3110562
중부요양병원,요양병원,대전중구,34977,대전광역시 중구 계백로 1546-0 대전중부새마을금고,127.3919674,36.3166838
큰우리요양병원,요양병원,대전유성구,34159,대전광역시 유성구 학하서로 99 (덕명동),127.2987478,36.3464011
테크노요양병원,요양병원,대전유성구,34028,대전광역시 유성구 테크노7로 31 해성빌딩 (용산동),127.4007735,36.4245671
튼튼요양병원,요양병원,대전중구,34815,대전광역시 중구 목중로 9 대전튼튼요양병원,127.4118034,36.3347942
평화요양병원,요양병원,대전중구,34800,대전광역시 중구 대전천서로 745 (중촌동),127.4085691,36.347334
푸른요양병원,요양병원,대전서구,35223,대전광역시 서구 월평중로 24  (월평동),127.3641676,36.356815
한남요양병원,요양병원,대전대덕구,34427,대전광역시 대덕구 한밭대로 1150 (중리동),127.4262813,36.3585268
행복한시니어스요양병원,요양병원,대전중구,35016,대전광역시 중구 보문산로 359 (문화동),127.4157653,36.3141303
홍제요양병원,요양병원,대전대덕구,34421,대전광역시 대덕구 동서대로 1805  (송촌동),127.4448786,36.3568033
마인드병원,정신병원,대전서구,35233,대전광역시 서구 대덕대로242번길 48-0 6~9층 (둔산동),,
사회복지법인 성신원 동대전정신병원,정신병원,대전동구,34502,대전광역시 동구 옥천로 315-0  (삼정동),,
사회복지법인천성원 대전한일병원,정신병원,대전대덕구,34371,대전광역시 대덕구 대화1길 2 (대화동),,
사회복지법인한마음 한마음정신병원,정신병원,대전서구,35428,대전광역시 서구 삼보실길 123-0  (장안동),,
참다남병원,정신병원,대전중구,34916,대전광역시 중구 보문로 254  (대흥동),,
(사)장애우자활추진본부부설충남의원,의원,대전동구,34626,대전광역시 동구 대전로 822 (정동),127.4322114,36.3327349
365연세홈닥터의원,의원,대전대덕구,34401,대전광역시 대덕구 동춘당로94번길 11-7 광혜빌딩 201호 (송촌동),127.4396741,36.3658722
365열린연합의원,의원,대전서구,35379,"대전광역시 서구 관저동로 88 202호 (관저동, 관저빌딩)",127.3410328,36.3000576
365최재혁가정의학과의원,의원,대전서구,35368,대전광역시 서구 계백로 1141 301호 (가수원동),127.3500625,36.3047903
DS피부과의원,의원,대전유성구,34017,"대전광역시 유성구 관평1로 15 (관평동, 더리치타운2층)",127.3870199,36.4259123
가라사대의원한의원,의원,대전유성구,34068,대전광역시 유성구 반석로 16 반석크리닉빌딩 3층 2호 (반석동),127.3126642,36.3918614
가수원이비인후과의원,의원,대전서구,35368,"대전광역시 서구 계백로 1161 304호 (가수원동, 유니온빌딩)",127.3522497,36.3053399
가양동서연합의원,의원,대전동구,34532,대전광역시 동구 흥룡로 37 2층 (가양동),127.4477715,36.3492202
가양마취통증의학과의원,의원,대전동구,34534,대전광역시 동구 우암로 273 4층 (가양동),,
가양산부인과의원,의원,대전동구,34534,대전광역시 동구 우암로 273 (가양동),127.4459886,36.3457972
가양성모의원,의원,대전동구,34597,대전광역시 동구 동대전로 233 (가양동),127.4478628,36.3422648
가오아이소아청소년과의원,의원,대전동구,34695,대전광역시 동구 은어송로 60 3층 (가오동),127.4561453,36.3061878
가오정형외과의원,의원,대전동구,34695,"대전광역시 동구 동구청로 95 4,5층 401,501호 (가오동)",127.456713,36.3064929
가오푸른정신건강의학과의원,의원,대전동구,34695,"대전광역시 동구 동구청로 95 2층 201호 (가오동, 예시티)",127.456713,36.3064929
가오플러스산부인과의원,의원,대전동구,34692,"대전광역시 동구 은어송로 63 5층,6층,7층,8층 (가오동)",127.4560317,36.3066737
가인연합내과신경과의원,의원,대전유성구,34171,"대전광역시 유성구 유성대로 770 3층, 5층 (장대동)",127.3361746,36.3607622
가장성모내과의원,의원,대전서구,35311,대전광역시 서구 도산로 286 2층 (가장동),127.3855871,36.3320009
갈마중앙의원,의원,대전서구,35281,"대전광역시 서구 신갈마로 133 2,3층 (갈마동)",127.3682465,36.3455158
강남내과의원,의원,대전대덕구,34318,대전광역시 대덕구 대덕대로 1610 1층 (석봉동),127.4267288,36.4503693
강남비뇨기과의원,의원,대전서구,35240,"대전광역시 서구 문예로 65 3층 (둔산동, 대광빌딩)",127.3898481,36.3525766
강남의원,의원,대전서구,35241,"대전광역시 서구 둔산중로 50 405호 (둔산동, 파이낸스빌딩)",127.3872936,36.3510089
강안과의원,의원,대전유성구,34177,대전광역시 유성구 계룡로 50 (봉명동),127.3365212,36.3549289
강재활의학과의원,의원,대전서구,35402,대전광역시 서구 계백로 1436 (도마동),127.3808317,36.3131448
강종원정형외과의원,의원,대전중구,34815,"대전광역시 중구 동서대로 1403 1, 3층 (목동)",,
강창규내과의원,의원,대전유성구,34009,대전광역시 유성구 구즉로 46 (송강동),127.3847808,36.4332407
강태영내과의원,의원,대전대덕구,34317,대전광역시 대덕구 대덕대로 1592 (석봉동),127.4246658,36.4501429
갤러리성모정형외과의원,의원,대전서구,35230,"대전광역시 서구 대덕대로 203 미래빌딩 8,9층 (둔산동)",127.3779281,36.3512445
갤러리성형외과의원,의원,대전서구,35230,"대전광역시 서구 둔산로 34 6층 (둔산동, 씨앤씨타워)",127.3775316,36.3513987
건강미내과의원,의원,대전서구,35235,대전광역시 서구 둔산남로 46 3층 (둔산동),127.3825798,36.3487003
건강한소화내과의원,의원,대전유성구,34086,대전광역시 유성구 은구비남로33번길 29 홍송빌딩 2층 (지족동),127.3191174,36.3735605
경성의원,의원,대전서구,35265,대전광역시 서구 대덕대로 150 3층 (갈마동),127.3768654,36.3448318
경소아청소년과의원,의원,대전대덕구,34398,"대전광역시 대덕구 동춘당로 178 303호 (법동, 보람아파트 상가)",127.4309506,36.3691448
경희성모연합의원,의원,대전동구,34551,"대전광역시 동구 동서대로 1689 대전복합터미널(서관) 5,6층 (용전동)",127.4367146,36.3503331
계룡내과의원,의원,대전중구,34959,대전광역시 중구 서문로 133 2층 (문화동),127.4051471,36.3198898
계룡재활의학과의원,의원,대전중구,34917,대전광역시 중구 대흥로 105 (대흥동),127.4239096,36.3231609
고려내과의원,의원,대전동구,34593,대전광역시 동구 우암로 172 (성남동),127.4366337,36.340955
고려신경정신과의원,의원,대전중구,34832,대전광역시 중구 대종로 504 2층 (은행동),127.4254588,36.32931
고려연합의원,의원,대전중구,35084,대전광역시 중구 대둔산로199번길 43 3층 (안영동),127.3784461,36.2885908
고려의원,의원,대전동구,34566,대전광역시 동구 태전로 165 (삼성동),127.4192284,36.3420489
고려정형외과의원,의원,대전유성구,34199,대전광역시 유성구 도안대로 511-7 춘추빌딩동 3층 (상대동),127.339686,36.3456658
고운눈안과의원,의원,대전동구,34680,대전광역시 동구 은어송로 73 7층 (가오동),127.4568618,36.3072536
고운마음의원,의원,대전중구,34838,대전광역시 중구 중앙로 125-1 2층 (선화동),127.4237754,36.3281268
고은소아청소년과의원,의원,대전대덕구,34401,"대전광역시 대덕구 동춘당로94번길 11-15 304-1 301호 (송촌동, 송촌빌딩)",127.4394288,36.3660374
공감더하기정신건강의학과의원,의원,대전서구,35368,대전광역시 서구 계백로 1135 MK클리닉 404호 (가수원동),127.3495016,36.3047704
곽상혁내과의원,의원,대전서구,35304,대전광역시 서구 계룡로 650 청포빌딩 5층 (용문동),127.3935609,36.3375969
관저내과의원,의원,대전서구,35372,대전광역시 서구 관저중로95번길 57 2층 202호 (관저동),127.3316319,36.3010422
관저드림의원,의원,대전서구,35382,대전광역시 서구 관저로 164 2층 (관저동),127.3399952,36.298735
관저성모의원,의원,대전서구,35358,"대전광역시 서구 관저북로 78 202,203호 (관저동)",127.337338,36.308808
관저정신건강의학과의원,의원,대전서구,35382,대전광역시 서구 관저로 164 5층 (관저동),127.3399952,36.298735
관저참소아청소년과의원,의원,대전서구,35382,대전광역시 서구 관저중로 72 3층 (관저동),127.335231,36.2985959
관저한빛정형외과의원,의원,대전서구,35363,대전광역시 서구 도안남로 148 3층 (관저동),127.3367019,36.3043199
광명의원,의원,대전서구,35211,"대전광역시 서구 월평북로 11 1,2층 (월평동, 주공아파트)",127.3690032,36.3632586
광명의원,의원,대전대덕구,34406,"대전광역시 대덕구 동춘당로 179 4층 (법동, 골드타워)",127.4316129,36.3673979
괴정바른본의원,의원,대전서구,35294,대전광역시 서구 갈마로 255 1층 (괴정동),,
구자경피부과의원,의원,대전서구,35230,대전광역시 서구 대덕대로 199 6층 (둔산동),127.3777972,36.3510361
구정신건강의학과의원,의원,대전서구,35264,대전광역시 서구 계룡로 599 MG한밭빌딩 4층 403호 (탄방동),127.3901908,36.3412676
국군의학연구소부속의원,의원,대전유성구,34105,대전광역시 유성구 자운로 27 (자운동),127.3480699,36.3956212
국소아청소년과의원,의원,대전서구,35415,대전광역시 서구 복수동로 61 2층 (복수동),127.3787878,36.2988326
굿닥터의원,의원,대전서구,35225,대전광역시 서구 월평로 58 4층 (월평동),127.3633681,36.3559593
굿모닝비뇨기과의원,의원,대전서구,35241,"대전광역시 서구 둔산중로 38 504호 (둔산동, 둔산메트로존)",127.3872546,36.3499147
굿모닝위앤장내과의원,의원,대전서구,35213,대전광역시 서구 월평북로 79 2층 (월평동),,
굿모닝의원,의원,대전서구,35262,대전광역시 서구 문정로 64 5층 (탄방동),127.3863806,36.3465117
굿모닝이비인후과의원,의원,대전서구,35262,"대전광역시 서구 문정로2번길 95 301호 (탄방동, 주안빌딩)",127.3853747,36.3433025
굿모닝재활의학과의원,의원,대전서구,35262,"대전광역시 서구 문정로48번길 58 4층 (탄방동, 자생빌딩)",127.3842069,36.3439502
권비뇨기과의원,의원,대전서구,35234,"대전광역시 서구 대덕대로 202 6층 (둔산동, 타임크리닉)",127.378641,36.3508361
권오균소아과의원,의원,대전유성구,34069,대전광역시 유성구 반석로 28 (반석동),127.3113748,36.3915756
그린성모의원,의원,대전서구,35230,"대전광역시 서구 둔산로 14 2층 (둔산동, 그린코아)",127.3753934,36.3521652
근로복지공단대전의원,의원,대전유성구,34016,대전광역시 유성구 테크노3로 65 한신에스메카 1층 130~135호 (관평동),127.3907803,36.4292608
근화내과의원,의원,대전동구,34590,대전광역시 동구 계족로 362 2층 (성남동),127.4340847,36.344441
금강의원,의원,대전동구,34580,대전광역시 동구 동서대로 1632 (성남동),127.4318681,36.3469689
기린마취통증의학과의원,의원,대전서구,35214,대전광역시 서구 청사서로 26 2층 201호 (월평동),127.3769485,36.3601013
기린의원,의원,대전대덕구,34382,"대전광역시 대덕구 계족로663번길 32 203호 (법동, 상가)",127.4251443,36.3728336
기쁜우리들의원,의원,대전동구,34673,"대전광역시 동구 동구청로 205 2,3층 (판암동)",,
기쁜정형외과의원,의원,대전동구,34673,"대전광역시 동구 동구청로 205 1,4,5층 (판암동)",127.4561773,36.3161689
기찬가정의학과의원,의원,대전서구,35332,대전광역시 서구 도산로 76 1층 (도마동),127.3793644,36.315264
길가정의학과의원,의원,대전동구,34676,대전광역시 동구 옥천로 170 (판암동),127.4593232,36.3168277
길맨비뇨기과의원,의원,대전유성구,34168,대전광역시 유성구 대학로 1 (봉명동),127.341164,36.3541124
김기룡안과의원,의원,대전동구,34627,대전광역시 동구 중앙로 193 (중동),127.4305503,36.3306808
김기영영심내과의원,의원,대전유성구,34223,대전광역시 유성구 계백로 927 1302호 (원내동),127.3266814,36.3008979
김남재내과의원,의원,대전유성구,34188,대전광역시 유성구 계룡로 114 BYC유성빌딩 7층 703호 (봉명동),127.3429573,36.3526557
김남철소아청소년과의원,의원,대전동구,34589,대전광역시 동구 우암로 173 (성남동),127.4364889,36.3412519
김내과의원,의원,대전중구,34925,대전광역시 중구 대종로 468 (대흥동),127.4276084,36.3263045
김대수내과의원,의원,대전서구,35285,대전광역시 서구 동서대로 981 2층 (내동),127.3715057,36.3343228
김동수재활의학과의원,의원,대전중구,35047,대전광역시 중구 보문로 57 2층 (부사동),127.4346121,36.3129432
김동철안과의원,의원,대전유성구,34017,대전광역시 유성구 테크노중앙로 32 (관평동),127.3890938,36.4269742
김명숙소아청소년과의원,의원,대전동구,34648,대전광역시 동구 동대전로 80 (대동),127.4433766,36.3296356
김무명이비인후과의원,의원,대전유성구,34052,대전광역시 유성구 유성대로 1758 (전민동),127.4044345,36.3993467
김미연아임산부인과의원,의원,대전서구,35230,대전광역시 서구 대덕대로 183 7층 (둔산동),127.3769602,36.3496696
김병국이비인후과의원,의원,대전서구,35234,대전광역시 서구 둔산로 76 6층 (둔산동),127.3822281,36.3510471
김병석흉부외과의원,의원,대전유성구,34117,대전광역시 유성구 신성로68번길 44 (신성동),127.3494084,36.3876821
김병호내과의원,의원,대전서구,35240,대전광역시 서구 문예로 69 5층 (둔산동),127.3898528,36.3528819
김봉천정형외과의원,의원,대전서구,35385,대전광역시 서구 계백로 1130 (가수원동),127.3490411,36.3038765
김상국정신건강의학과의원,의원,대전서구,35234,대전광역시 서구 대덕대로 202 5층 (둔산동),127.378641,36.3508361
김상우비뇨기과의원,의원,대전동구,34676,대전광역시 동구 옥천로 178-1 (판암동),127.460224,36.3170713
김석필내과의원,의원,대전동구,34534,대전광역시 동구 동대전로 290 (가양동),127.4452494,36.3468097
김선귀이비인후과의원,의원,대전서구,35265,대전광역시 서구 대덕대로 164 4층 (갈마동),127.3766612,36.3476658
김선무정신건강의학과의원,의원,대전동구,34628,대전광역시 동구 대전로 799 2층 (중동),127.4325086,36.3307913
김성걸내과의원,의원,대전중구,34842,대전광역시 중구 선화서로 120 (선화동),127.4148813,36.3338324
김세겸비뇨의학과의원,의원,대전서구,35401,대전광역시 서구 도산로 45 501호 (도마동),127.3803034,36.3126705
김승태내과의원,의원,대전동구,34633,대전광역시 동구 충무로 193 (인동),127.4373455,36.3217948
김안과의원,의원,대전중구,34832,대전광역시 중구 대종로 506 (은행동),127.4253884,36.3294188
김영근성형외과의원,의원,대전중구,34840,대전광역시 중구 대종로 609 (선화동),127.4167299,36.335722
김영소아청소년과의원,의원,대전동구,34692,"대전광역시 동구 은어송로 63 4층 402호 (가오동, 글로리타워2)",127.4560317,36.3066737
김영승내과의원,의원,대전동구,34636,대전광역시 동구 계족로 37 (효동),127.4420297,36.3182071
김영운내과의원,의원,대전서구,35396,대전광역시 서구 정림동로5번길 23 2층 (정림동),127.3657138,36.305515
김영철비뇨기과의원,의원,대전서구,35393,대전광역시 서구 계백로 1272 (정림동),127.3643647,36.3072359
김완중정신건강의학과의원,의원,대전중구,34832,"대전광역시 중구 중앙로 149 301호 (은행동, 한솔그린타워)",127.4260116,36.3290641
김용석소아청소년과의원,의원,대전서구,35245,"대전광역시 서구 둔산로 201 207,208호 (둔산동)",127.3964569,36.3551614
김익수마취통증의학과의원,의원,대전중구,35048,대전광역시 중구 대종로 289 1층 (부사동),127.4362675,36.3121302
김일수비뇨기과의원,의원,대전동구,34648,대전광역시 동구 계족로 174 (대동),127.4433669,36.329484
김재덕성형외과의원,의원,대전서구,35264,"대전광역시 서구 계룡로 633 8층 (탄방동, 우리빌딩)",127.3928633,36.3390543
김재룡성형외과의원,의원,대전서구,35230,"대전광역시 서구 대덕대로 179 12층 (둔산동, 엠제이피부과굿모닝어학원빌딩)",127.3768209,36.3494046
김재현재활의학과의원,의원,대전대덕구,34418,대전광역시 대덕구 비래동로 8 3층 (비래동),127.4500728,36.3545772
김정식내과의원,의원,대전유성구,34070,"대전광역시 유성구 지족동로 152 4층 401호 (지족동, 코오롱타워1)",127.3087746,36.3874466
김정현가정의학과의원,의원,대전중구,34909,대전광역시 중구 계백로 1719 522호 (오류동),127.4104776,36.3222394
김종학내과의원,의원,대전중구,35023,대전광역시 중구 대종로 309 (부사동),127.4344038,36.3134131
김종현내과의원,의원,대전동구,34628,대전광역시 동구 대전로779번길 5 2층 (원동),127.4334419,36.3292288
김주병제통의원,의원,대전대덕구,34312,대전광역시 대덕구 신탄진로 777 1층 (신탄진동),127.4293394,36.4467958
